id_1,id_2,id_3,id_4,id_5,id_6,id_7,id_8,id_9
-0.364,0.222,0.09,0.235,0.221,0.183,0.297,0.017,0.235
-0.357,0.23,0.098,0.237,0.229,0.184,0.304,0.026,0.243
-0.371,0.224,0.099,0.238,0.23,0.185,0.305,0.026,0.238
-0.373,0.224,0.1,0.233,0.231,0.186,0.299,0.027,0.238
-0.367,0.231,0.107,0.234,0.231,0.186,0.306,0.035,0.239
-0.37,0.226,0.109,0.235,0.232,0.187,0.307,0.036,0.235
-0.37,0.236,0.119,0.239,0.242,0.191,0.316,0.038,0.244
-0.376,0.235,0.111,0.233,0.242,0.19,0.309,0.037,0.238
-0.381,0.229,0.111,0.227,0.235,0.184,0.309,0.037,0.238
-0.37,0.239,0.121,0.231,0.245,0.194,0.319,0.048,0.242
-0.373,0.232,0.121,0.225,0.245,0.194,0.313,0.048,0.235
-0.386,0.232,0.121,0.225,0.239,0.187,0.312,0.041,0.235
-0.381,0.236,0.124,0.229,0.249,0.19,0.322,0.05,0.239
-0.384,0.236,0.124,0.223,0.248,0.19,0.316,0.05,0.233
-0.386,0.229,0.124,0.217,0.242,0.184,0.316,0.051,0.233
-0.38,0.239,0.134,0.221,0.252,0.194,0.32,0.053,0.237
-0.382,0.233,0.135,0.216,0.246,0.188,0.32,0.053,0.231
-0.384,0.233,0.128,0.21,0.246,0.188,0.314,0.054,0.231
-0.387,0.228,0.128,0.204,0.247,0.182,0.315,0.054,0.226
-0.381,0.236,0.137,0.206,0.249,0.19,0.317,0.055,0.228
-0.38,0.231,0.131,0.202,0.251,0.185,0.313,0.056,0.223
-0.384,0.232,0.13,0.197,0.245,0.179,0.313,0.057,0.224
-0.387,0.224,0.131,0.19,0.244,0.178,0.306,0.057,0.217
-0.38,0.227,0.14,0.193,0.247,0.181,0.315,0.058,0.22
-0.381,0.229,0.134,0.189,0.243,0.177,0.312,0.06,0.216
-0.385,0.222,0.134,0.176,0.242,0.176,0.305,0.06,0.209
-0.387,0.216,0.134,0.17,0.236,0.169,0.305,0.051,0.209
-0.38,0.225,0.136,0.173,0.245,0.172,0.309,0.061,0.212
-0.384,0.22,0.138,0.168,0.24,0.174,0.304,0.063,0.208
-0.386,0.214,0.138,0.162,0.235,0.167,0.299,0.054,0.202
-0.377,0.214,0.132,0.156,0.235,0.161,0.299,0.056,0.196
-0.379,0.208,0.131,0.15,0.228,0.161,0.293,0.055,0.189
-0.379,0.201,0.123,0.137,0.229,0.154,0.287,0.046,0.182
-0.373,0.21,0.133,0.139,0.232,0.156,0.29,0.057,0.191
-0.378,0.205,0.134,0.135,0.227,0.158,0.292,0.058,0.187
-0.367,0.199,0.127,0.129,0.221,0.152,0.287,0.05,0.182
-0.364,0.2,0.127,0.116,0.221,0.145,0.281,0.052,0.175
-0.371,0.193,0.127,0.108,0.215,0.138,0.276,0.05,0.169
-0.372,0.187,0.121,0.103,0.209,0.138,0.27,0.043,0.163
-0.362,0.18,0.121,0.097,0.203,0.133,0.265,0.044,0.156
-0.366,0.179,0.112,0.082,0.202,0.124,0.258,0.042,0.148
-0.366,0.173,0.112,0.075,0.196,0.117,0.252,0.035,0.142
-0.348,0.176,0.122,0.078,0.199,0.126,0.255,0.045,0.145
-0.348,0.17,0.115,0.065,0.193,0.121,0.257,0.045,0.139
-0.348,0.164,0.116,0.057,0.195,0.115,0.252,0.039,0.133
-0.341,0.164,0.109,0.051,0.189,0.108,0.246,0.039,0.133
-0.34,0.157,0.108,0.044,0.182,0.1,0.24,0.03,0.126
-0.331,0.151,0.109,0.03,0.176,0.101,0.235,0.031,0.121
-0.33,0.144,0.102,0.023,0.17,0.095,0.229,0.031,0.114
-0.32,0.143,0.101,0.015,0.163,0.087,0.223,0.023,0.107
-0.319,0.138,0.094,0.001,0.157,0.08,0.217,0.023,0.1
-0.32,0.131,0.094,-0.006,0.157,0.072,0.212,0.024,0.094
-0.312,0.123,0.094,-0.015,0.15,0.072,0.205,0.016,0.086
-0.311,0.116,0.087,-0.03,0.144,0.066,0.199,0.015,0.08
-0.3,0.117,0.087,-0.037,0.139,0.059,0.188,0.008,0.073
-0.299,0.11,0.08,-0.045,0.132,0.051,0.181,0.008,0.066
-0.299,0.094,0.069,-0.07,0.116,0.034,0.165,-0.002,0.049
-0.3,0.085,0.069,-0.08,0.108,0.032,0.158,-0.01,0.041
-0.29,0.077,0.061,-0.089,0.1,0.025,0.151,-0.012,0.033
-0.278,0.076,0.059,-0.106,0.093,0.018,0.144,-0.021,0.025
-0.275,0.07,0.052,-0.115,0.086,0.009,0.138,-0.021,0.018
-0.265,0.062,0.051,-0.125,0.078,0.0,0.131,-0.021,0.009
-0.264,0.053,0.05,-0.134,0.071,-0.0,0.123,-0.029,0.001
-0.253,0.046,0.044,-0.148,0.064,-0.007,0.118,-0.03,-0.006
-0.252,0.045,0.043,-0.161,0.056,-0.015,0.111,-0.039,-0.015
-0.242,0.037,0.034,-0.17,0.048,-0.023,0.097,-0.04,-0.024
-0.228,0.03,0.035,-0.177,0.043,-0.031,0.091,-0.039,-0.03
-0.224,0.022,0.034,-0.195,0.035,-0.04,0.084,-0.046,-0.038
-0.224,0.011,0.017,-0.216,0.018,-0.05,0.067,-0.057,-0.057
-0.225,0.003,0.015,-0.226,0.009,-0.059,0.059,-0.068,-0.067
-0.212,-0.006,0.006,-0.237,0.0,-0.068,0.051,-0.068,-0.068
-0.2,-0.015,0.005,-0.255,-0.008,-0.077,0.044,-0.068,-0.076
-0.199,-0.016,0.004,-0.267,-0.016,-0.087,0.036,-0.077,-0.084
-0.186,-0.023,-0.003,-0.279,-0.024,-0.088,0.022,-0.078,-0.093
-0.174,-0.033,-0.004,-0.288,-0.032,-0.095,0.014,-0.086,-0.102
-0.171,-0.042,-0.015,-0.299,-0.041,-0.104,0.005,-0.089,-0.111
-0.158,-0.042,-0.013,-0.317,-0.048,-0.113,-0.001,-0.097,-0.119
-0.158,-0.05,-0.013,-0.33,-0.057,-0.123,-0.009,-0.098,-0.128
-0.155,-0.069,-0.033,-0.352,-0.074,-0.133,-0.027,-0.108,-0.146
-0.142,-0.07,-0.033,-0.365,-0.084,-0.142,-0.035,-0.117,-0.157
-0.142,-0.079,-0.035,-0.377,-0.093,-0.153,-0.043,-0.119,-0.167
-0.13,-0.089,-0.045,-0.39,-0.102,-0.163,-0.059,-0.129,-0.176
-0.116,-0.098,-0.044,-0.401,-0.111,-0.164,-0.069,-0.13,-0.187
-0.115,-0.1,-0.046,-0.414,-0.12,-0.173,-0.078,-0.131,-0.198
-0.103,-0.109,-0.055,-0.426,-0.129,-0.182,-0.086,-0.139,-0.199
-0.102,-0.118,-0.055,-0.438,-0.138,-0.193,-0.095,-0.141,-0.208
-0.09,-0.121,-0.057,-0.452,-0.148,-0.196,-0.104,-0.151,-0.218
-0.077,-0.129,-0.065,-0.464,-0.156,-0.202,-0.112,-0.151,-0.227
-0.074,-0.137,-0.065,-0.476,-0.165,-0.213,-0.121,-0.153,-0.237
-0.072,-0.15,-0.076,-0.499,-0.184,-0.233,-0.138,-0.169,-0.256
-0.072,-0.159,-0.086,-0.513,-0.195,-0.235,-0.148,-0.173,-0.269
-0.061,-0.161,-0.088,-0.528,-0.205,-0.244,-0.165,-0.184,-0.28
-0.048,-0.171,-0.089,-0.543,-0.215,-0.256,-0.176,-0.185,-0.283
-0.046,-0.181,-0.098,-0.556,-0.225,-0.267,-0.186,-0.186,-0.292
-0.036,-0.185,-0.101,-0.565,-0.236,-0.27,-0.197,-0.196,-0.303
-0.033,-0.193,-0.101,-0.576,-0.246,-0.279,-0.206,-0.198,-0.313
-0.023,-0.195,-0.101,-0.588,-0.256,-0.29,-0.216,-0.199,-0.326
-0.022,-0.205,-0.111,-0.607,-0.267,-0.293,-0.227,-0.208,-0.338
-0.011,-0.216,-0.113,-0.62,-0.277,-0.301,-0.237,-0.211,-0.341
-0.009,-0.219,-0.113,-0.627,-0.289,-0.314,-0.247,-0.221,-0.35
-0.001,-0.229,-0.124,-0.642,-0.301,-0.326,-0.259,-0.223,-0.363
0.002,-0.232,-0.127,-0.657,-0.311,-0.329,-0.269,-0.225,-0.375
0.021,-0.233,-0.119,-0.658,-0.315,-0.331,-0.271,-0.225,-0.371
0.022,-0.236,-0.118,-0.67,-0.326,-0.34,-0.282,-0.227,-0.378
0.024,-0.244,-0.128,-0.676,-0.328,-0.344,-0.292,-0.238,-0.391
0.033,-0.248,-0.131,-0.691,-0.338,-0.355,-0.303,-0.239,-0.405
0.034,-0.258,-0.131,-0.705,-0.349,-0.364,-0.315,-0.24,-0.407
0.045,-0.26,-0.131,-0.716,-0.36,-0.371,-0.327,-0.251,-0.416
0.046,-0.27,-0.142,-0.732,-0.372,-0.381,-0.331,-0.253,-0.431
0.045,-0.275,-0.145,-0.739,-0.384,-0.383,-0.34,-0.255,-0.443
0.063,-0.275,-0.138,-0.739,-0.388,-0.387,-0.343,-0.258,-0.439
0.066,-0.278,-0.137,-0.751,-0.398,-0.398,-0.353,-0.258,-0.45
0.065,-0.289,-0.138,-0.759,-0.412,-0.4,-0.365,-0.261,-0.462
0.065,-0.293,-0.148,-0.776,-0.425,-0.412,-0.377,-0.269,-0.468
0.083,-0.286,-0.143,-0.78,-0.422,-0.417,-0.382,-0.263,-0.471
0.085,-0.294,-0.142,-0.782,-0.43,-0.419,-0.393,-0.275,-0.481
